#Number;State;DataSource;Name;Identifier;Year;Description;Standard;Platform;Language;Wikipedia;Domain;Width;MinWidth;MaxWidth;ReplacementChar;GeneratesNFC;ContainsBIDI;JavaLibrary
9999;checked;SELF;ibm-1126;IBM1126;1997;Korean;IBMPC;dos;korean;https://en.wikipedia.org/w/index.php?title=Code_page_1126&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1127;IBM1127;1996;Arabic/French;IBMPC;dos;arabic;https://en.wikipedia.org/w/index.php?title=Code_page_1127&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1165;IBM1165;1999;Latin 2 Open Systems with euro;IBMZOS;zos;latin;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1166;IBM1166;2001;Cyrillic, Multilingual with euro;IBMZOS;zos;cyrillic;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;SELF;ibm-1210;IBM1210;2004;UTF-EBCDIC with IBM PUA;IBMZOS;zos;any;;ebcdic;varying8;1;2;U+001A;yes;no;
9999;checked;SELF;ibm-1211;IBM1211;2004;UTF-EBCDIC;IBMZOS;zos;any;;ebcdic;varying8;1;2;U+001A;yes;no;
9999;checked;Name;ibm-1277;IBM1277;1995;Adobe PostScript Latin-1;MSIBM;windows;latin;https://en.wikipedia.org/w/index.php?title=Code_page_1277&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;SELF;ibm-1281;IBM1281;1995;Apple Turkish;;windows;latin;https://en.wikipedia.org/wiki/MacTurkish_encoding;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;SELF;ibm-1287;IBM1287;2000;DEC Greek;VENDOR;dec;cyrillic;https://en.wikipedia.org/w/index.php?title=Code_page_1287&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;SELF;ibm-1288;IBM1288;2000;DEC Turkish;VENDOR;dec;latin;https://en.wikipedia.org/w/index.php?title=Code_page_1288&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;unchecked;Name;eucJP-Open;EUC_JP_Open;1997;;;unix;japanese;;ascii;varying8;1;3;U+001A;yes;no;
9999;checked;Name;ibm-1351;IBM1351;1996;Japanese DBCS PC for Open environment (HP code): related to CCSID 941, 6878 JIS X 0208-1990 chars and 940 HP UDC (X'EB40' to X'EFFC');IBMPC;dos;japanese;https://en.wikipedia.org/w/index.php?title=Code_page_1351&action=edit&redlink=1;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-1362;IBM1362;1997;Windows Korean including 11172 full Hangul;IBMPC;windows;korean;https://en.wikipedia.org/w/index.php?title=Code_page_1362&action=edit&redlink=1;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-1380;IBM1380;1993;Simplified Chinese GB;IBMPC;dos;chinese;https://en.wikipedia.org/w/index.php?title=Code_page_1380&action=edit&redlink=1;ascii;fixed16;2;1;U+001A;yes;no;
9999;checked;Name;ibm-1381;IBM1381;1993;Simplified Chinese (IBM GB) including 1880 UDC, 31 IBM selected characters and 5 SAA SB characters;IBMPC;dos;chinese;https://en.wikipedia.org/w/index.php?title=Code_page_1381&action=edit&redlink=1;ascii;varying8;1;2;U+001A;yes;no;
9999;checked;Name;ibm-1382;IBM1382;1994;Simplified Chinese PC GB 2312-80 set, including 31 IBM selected and 1360 UDC;IBMAIX;aix;chinese;https://en.wikipedia.org/w/index.php?title=Code_page_1382&action=edit&redlink=1;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-4930;IBM4930;1998;Korean extended including 11,172 full Hangul;IBMZOS;zos;korean;;ebcdic;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-4933;IBM4933;2001;Simplified Chinese, all GBK character set and other growing chars;IBMZOS;zos;chinese;;ebcdic;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-4948;IBM4948;1993;Latin 2;IBMPC;dos;latin;;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-4951;IBM4951;1988;Cyrillic;IBMPC;dos;cyrillic;;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-4952;IBM4952;1989;Hebrew;IBMPC;dos;hebrew;;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-4960;IBM4960;1986;Arabic (all shapes);IBMPC;dos;arabic;;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-5039;IBM5039;1996;Japanese for Open environment (HP code): related to CCSID 943, 6878 JIS X 0208-1990 chars, 940 HP UDC (X'EB40' to X'EFFC') and 5 optional extended SBCS chars for host interoperability;IBMPC;dos;japanese;;ascii;varying8;1;2;U+001A;yes;no;
9999;checked;Name;ibm-5048;IBM5048;1993;Japanese EUC, G1 for JIS X 0208-1990 including 83 NEC selected chars and 940 UDC;IBMAIX;aix;japanese;;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-5049;IBM5049;1993;Japanese EUC, G3 for JIS X 0212-1990 excluding 106 IBM selected characters, 940 UDC;IBMAIX;aix;japanese;;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-5067;IBM5067;1993;Korean EUC, G1 - KS C5601-1989 excluding 188 UDC;IBMAIX;aix;korean;;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-5104;IBM5104;1999;Arabic 8-bit ISO/ASCII with euro;IBMPC;dos;arabic;;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-8612;IBM8612;1984;Arabic (base shapes only);IBMZOS;zos;arabic;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-9027;IBM9027;1999;Traditional Chinese including 6204 UDC with euro;IBMZOS;zos;chinese;;ebcdic;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-9048;IBM9048;1989;Hebrew with euro and new sheqel;IBMPC;dos;hebrew;;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-9056;IBM9056;1986;Arabic PC Storage/Interchange;IBMPC;dos;arabic;;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-9061;IBM9061;1999;Greek with euro;IBMPC;dos;cyrillic;;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-9145;IBM9145;1993;Japanese EUC, G3 - JIS X 0212-1990 subset 280 including 106 IBM selected characters and 940 UDC;IBMAIX;aix;japanese;;ascii;varying8;1;2;U+001A;yes;no;
9999;checked;Name;ibm-9238;IBM9238;1999;Arabic with euro;IBMAIX;aix;arabic;;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-13125;IBM13125;2001;Simplified Chinese for GBK including 1894 UDC;IBMZOS;zos;chinese;;ebcdic;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-13140;IBM13140;2000;Latin-2 with euro and MS controls;IBMPC;dos;latin;;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-13218;IBM13218;1999;Japanese Katakana-Kanji including 1880 UDC (no SBCS a-z);IBMZOS;zos;japanese;;ebcdic;varying8;1;2;U+001A;yes;no;
9999;checked;Name;ibm-13676;IBM13676;2001;Simplified Chinese for GBK, all GBK including 1894 UDCs, not including Uygur extension;IBMZOS;zos;chinese;;ebcdic;varying8;1;2;U+001A;yes;no;
9999;checked;Name;ibm-17221;IBM17221;2001;Simplified Chinese for GBK, including 1894 UDCs, previously growing 1388;IBMZOS;zos;chinese;;ebcdic;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-17248;IBM17248;1999;Arabic with euro;IBMPC;dos;arabic;;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-21344;IBM21344;2000;Arabic with euro and MS controls;IBMPC;dos;arabic;;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-21427;IBM21427;1999;Traditional Chinese (IBM BIG-5) including 13493 CNS, 566 IBM selected, 6204 UDC and with euro;IBMPC;dos;chinese;;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-33058;IBM33058;1989;Japanese Katakana (Katakana - PC common set);IBMZOS;zos;japanese;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;Windows-1361;Windows_1361;2000;Korean (Johab);MSWIN;windows;korean;https://en.wikipedia.org/w/index.php?title=Code_page_1361&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;unchecked;IANA;CP50220;CP50220;;;;windows;japanese;;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Deprecated;MIK;MIK;1989;Bulgarian;;dos;cyrillic;https://en.wikipedia.org/wiki/MIK_(character_set);ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Deprecated;Windows-Sami2;Windows_Sami2;2003;Sami language in Norway, based on Windows-1252;MSWIN;windows;latin;;ascii;fixed8;1;1;U+001A;yes;no;
9999;unchecked;IANA;JIS_Encoding;JIS_Encoding;1991;;;national;japanese;;ascii;varying8;1;2;U+001A;yes;no;
9999;checked;IANA;iso-ir-90;ISO_IR_90;1985;Supplementary Set of Latin Alphabetic and non-Alphabetic Graphic Characters;ISO6937;international;latin;;ascii;fixed8;1;1;U+001A;yes;no;
