Lower Case	Upper Case	Note:
0x03cc	0x038c	; Greek Omicron Tonos
0x03cd	0x038e	; Greek Upsilon Tonos
0x03ce	0x038f	; Greek Omega Tonos
		
		
		
		
0x03d7	0x03cf	; Greek Kai Symbol
0x03d9	0x03d8	; Greek Small Letter Archaic Koppa -> Greek Letter Archaic Koppa
0x03db	0x03da	; Greek Small Letter Stigma -> Greek Letter Stigma
0x03dd	0x03dc	; Greek Small Letter Digamma -> Greek Letter Digamma
0x03df	0x03de	; Greek Small Letter Koppa -> Greek Letter Koppa
0x03e1	0x03e0	; GREEK LETTER SAMPI
0x03e3	0x03e2	; Coptic Shei
0x03e5	0x03e4	; Coptic Fei
0x03e7	0x03e6	; Coptic Khei
0x03e9	0x03e8	; Coptic Hori
0x03eb	0x03ea	; Coptic Gangia
0x03ed	0x03ec	; Coptic Shima
0x03ef	0x03ee	; Coptic Dei
		
		
0x03f2	0x03f9	; GREEK LUNATE SIGMA SYMBOL
		
		
0x03f8	0x03f7	; GREEK LETTER SHO
0x03fb	0x03fa	; GREEK LETTER SAN
0x0430	0x0410	; Cyrillic A
0x0431	0x0411	; Cyrillic Be
0x0432	0x0412	; Cyrillic Ve
0x0433	0x0413	; Cyrillic Ghe
0x0434	0x0414	; Cyrillic De
0x0435	0x0415	; Cyrillic Ie
0x0436	0x0416	; Cyrillic Zhe
0x0437	0x0417	; Cyrillic Ze
0x0438	0x0418	; Cyrillic I
0x0439	0x0419	; Cyrillic Short I
0x043a	0x041a	; Cyrillic Ka
0x043b	0x041b	; Cyrillic El
0x043c	0x041c	; Cyrillic Em
0x043d	0x041d	; Cyrillic En
0x043e	0x041e	; Cyrillic O
0x043f	0x041f	; Cyrillic Pe
0x0440	0x0420	; Cyrillic Er
0x0441	0x0421	; Cyrillic Es
0x0442	0x0422	; Cyrillic Te
0x0443	0x0423	; Cyrillic U
0x0444	0x0424	; Cyrillic Ef
0x0445	0x0425	; Cyrillic Ha
0x0446	0x0426	; Cyrillic Tse
0x0447	0x0427	; Cyrillic Che
0x0448	0x0428	; Cyrillic Sha
0x0449	0x0429	; Cyrillic Shcha
0x044a	0x042a	; Cyrillic Hard Sign
0x044b	0x042b	; Cyrillic Yeru
0x044c	0x042c	; Cyrillic Soft Sign
0x044d	0x042d	; Cyrillic E
0x044e	0x042e	; Cyrillic Yu
0x044f	0x042f	; Cyrillic Ya
0x0450	0x0400	; CYRILLIC LETTER IE WITH GRAVE
0x0451	0x0401	; Cyrillic Io
0x0452	0x0402	; Cyrillic Dje
0x0453	0x0403	; Cyrillic Gje
0x0454	0x0404	; Cyrillic Ukrainian Ie
0x0455	0x0405	; Cyrillic Dze
0x0456	0x0406	; Cyrillic Byelorussian-Ukrainian I
0x0457	0x0407	; Cyrillic Yi
0x0458	0x0408	; Cyrillic Je
0x0459	0x0409	; Cyrillic Lje
0x045a	0x040a	; Cyrillic Nje
0x045b	0x040b	; Cyrillic Tshe
0x045c	0x040c	; Cyrillic Kje
0x045d	0x040d	; CYRILLIC LETTER I WITH GRAVE
0x045e	0x040e	; Cyrillic Short U
0x045f	0x040f	; Cyrillic Dzhe
0x0461	0x0460	; Cyrillic Omega
0x0463	0x0462	; Cyrillic Yat
0x0465	0x0464	; Cyrillic Iotified E
0x0467	0x0466	; Cyrillic Little Yus
0x0469	0x0468	; Cyrillic Iotified Little Yus
